DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;RGP2012;RGP2007;RGP1999
77373;11;77;775;7740;Pontault-Combault;37631;34733;32886
77374;11;77;775;7733;Pontcarr?;2034;2009;1816
77376;11;77;771;7737;Pr?cy-sur-Marne;794;688;480
77377;11;77;772;7728;Presles-en-Brie;2288;2067;1680
77378;11;77;772;7732;Pringy;2549;2554;2316
77379;11;77;773;7725;Provins;12161;12267;11667
77380;11;77;771;7715;Puisieux;320;285;282
77381;11;77;772;7722;Quiers;685;654;583
77382;11;77;771;7708;Quincy-Voisins;5078;4944;4561
77383;11;77;773;7723;Rampillon;802;774;607
77384;11;77;772;7741;R?au;1548;1009;705
77385;11;77;773;7726;Rebais;2174;2104;2020
77386;11;77;774;7703;Recloses;699;687;600
77387;11;77;774;7716;Remauville;473;436;368
77388;11;77;771;7712;Reuil-en-Brie;832;865;819
77389;11;77;772;7719;La Rochette;3119;2966;2759
77390;11;77;775;7733;Roissy-en-Brie;22518;21971;19693
77391;11;77;773;7725;Rouilly;495;472;428
77392;11;77;771;7709;Rouvres;620;625;596
77393;11;77;773;7727;Rozay-en-Brie;2816;2712;2613
77394;11;77;772;7718;Rubelles;1989;1830;1653
77395;11;77;774;7703;Rumont;123;127;124
77396;11;77;773;7729;Rup?reux;102;94;74
77397;11;77;771;7712;Sa‰cy-sur-Marne;1766;1756;1658
77398;11;77;773;7726;Sablonnières;701;677;628
77399;11;77;774;7716;Saint-Ange-le-Viel;231;227;215
77400;11;77;771;7707;Saint-Augustin;1743;1639;1413
77401;11;77;771;7712;Sainte-Aulde;679;615;516
77402;11;77;773;7711;Saint-Barth?lemy;379;341;361
77403;11;77;773;7725;Saint-Brice;663;751;719
77404;11;77;773;7725;Sainte-Colombe;1795;1723;1697
77405;11;77;773;7726;Saint-Cyr-sur-Morin;1914;1802;1684
77406;11;77;773;7726;Saint-Denis-lès-Rebais;941;914;780
77407;11;77;772;7732;Saint-Fargeau-Ponthierry;13170;12180;11224
77408;11;77;771;7708;Saint-Fiacre;405;369;389
77409;11;77;773;7720;Saint-Germain-Laval;2805;2762;2602
77410;11;77;772;7718;Saint-Germain-Laxis;571;537;514
77411;11;77;773;7726;Saint-Germain-sous-Doue;485;472;382
77412;11;77;772;7732;Saint-Germain-sur-ƒcole;347;355;328
77413;11;77;771;7708;Saint-Germain-sur-Morin;3541;3362;2755
77414;11;77;773;7725;Saint-Hilliers;459;431;400
77415;11;77;771;7712;Saint-Jean-les-Deux-Jumeaux;1106;1213;1227
77416;11;77;773;7723;Saint-Just-en-Brie;234;255;196
77417;11;77;773;7726;Saint-L?ger;217;201;200
77418;11;77;773;7725;Saint-Loup-de-Naud;887;886;855
77419;11;77;774;7721;Saint-Mammès;3181;3192;3084
77420;11;77;771;7709;Saint-Mard;3849;3663;3445
77421;11;77;773;7711;Saint-Mars-Vieux-Maisons;265;290;188
77423;11;77;773;7711;Saint-Martin-des-Champs;721;689;552
77424;11;77;773;7729;Saint-Martin-du-Boschet;294;273;187
77425;11;77;772;7732;Saint-Martin-en-Bière;798;831;754
77426;11;77;772;7722;Saint-M?ry;372;389;366
77427;11;77;771;7737;Saint-Mesmes;587;527;462
77428;11;77;772;7722;Saint-Ouen-en-Brie;859;840;704
77429;11;77;773;7726;Saint-Ouen-sur-Morin;553;573;537
77430;11;77;771;7709;Saint-Pathus;5901;5258;4829
77431;11;77;774;7724;Saint-Pierre-lès-Nemours;5560;5742;5815
77432;11;77;773;7711;Saint-R?my-la-Vanne;988;922;807
77433;11;77;771;7707;Saints;1327;1276;1173
77434;11;77;773;7701;Saint-Sauveur-lès-Bray;347;316;287
77435;11;77;772;7732;Saint-Sauveur-sur-ƒcole;1097;1079;1048
77436;11;77;773;7711;Saint-Sim?on;883;836;737
77437;11;77;771;7709;Saint-Soupplets;3238;3300;2890
77438;11;77;775;7714;Saint-Thibault-des-Vignes;6256;6510;6382
77439;11;77;773;7720;Salins;1024;991;916
77440;11;77;771;7712;Sammeron;1073;1015;956
77441;11;77;774;7713;Samois-sur-Seine;2098;2062;2236
77442;11;77;774;7713;Samoreau;2317;2341;2157
77443;11;77;771;7708;Sancy;379;353;306
77444;11;77;773;7729;Sancy-lès-Provins;339;311;269
77445;11;77;772;7734;Savigny-le-Temple;29555;26905;22339
77446;11;77;773;7710;Savins;612;608;508
77447;11;77;772;7734;Seine-Port;1927;1927;1754
77448;11;77;771;7712;Sept-Sorts;422;436;394
77449;11;77;775;7743;Serris;8117;6592;2320
77450;11;77;772;7702;Servon;3121;2881;2791
77451;11;77;771;7712;Signy-Signets;611;599;564
77452;11;77;773;7710;Sigy;49;62;70
77453;11;77;772;7705;Sivry-Courtry;1091;986;982
77454;11;77;773;7710;Sognolles-en-Montois;413;415;345
77455;11;77;772;7702;Soignolles-en-Brie;2084;2008;1962
77456;11;77;773;7725;Soisy-Bouy;808;788;748
77457;11;77;772;7702;Solers;1253;1284;1243
77458;11;77;774;7704;Souppes-sur-Loing;5496;5605;5348
77459;11;77;773;7729;Sourdun;1436;1510;1232
77460;11;77;771;7715;Tancrou;379;326;272
77461;11;77;773;7710;Th?nisy;280;277;239
77462;11;77;771;7709;Thieux;811;807;683
77463;11;77;774;7721;Thomery;3443;3345;3203
77464;11;77;775;7743;Thorigny-sur-Marne;9107;9386;9029
77465;11;77;774;7716;Thoury-F?rottes;702;596;609
77466;11;77;773;7727;Tigeaux;376;374;366
77467;11;77;773;7701;La Tombe;215;226;222
77468;11;77;775;7735;Torcy;23471;22117;21595
77469;11;77;773;7727;Touquin;1130;1101;950
77470;11;77;772;7728;Tournan-en-Brie;8261;8250;7545
77471;11;77;774;7703;Tousson;358;390;378
77472;11;77;773;7726;La Tr?toire;442;369;389
77473;11;77;774;7724;Treuzy-Levelay;454;446;431
77474;11;77;771;7731;Trilbardou;666;602;517
