IRIS2;N_logements;COM;REG;DEP;ARR;COMA;Nb_resid_princ;Nobre_RS;Nombre_log_occasionnels;NBr_loge_vacants;RP_Proprio;RPLogemnts_locatifs_vide_NonHLM;RPMeubl_chambre_hotels;RP_residPrincipLocPriv
775300000;124;77530;11;77;773;77530;102;10;1;11;85;13;0;13
775310000;805;77531;11;77;774;77531;646;86;4;69;462;120;6;126
775320000;35;77532;11;77;773;77532;26;3;0;6;14;11;0;11
775330000;815;77533;11;77;774;77533;725;59;5;26;626;70;2;72
775340000;221;77534;11;77;772;77534;199;10;0;12;165;16;5;21
780030000;918;78003;11;78;782;78003;864;19;5;30;671;114;1;115
780050101;26;78005;11;78;783;78005;26;0;0;0;0;19;2;21
780050102;28;78005;11;78;783;78005;28;0;0;0;8;16;0;16
780050103;1387;78005;11;78;783;78005;1323;0;5;59;368;53;9;62
780050104;711;78005;11;78;783;78005;693;1;2;15;148;26;4;30
780050105;955;78005;11;78;783;78005;919;1;4;31;101;21;5;26
780050106;905;78005;11;78;783;78005;848;0;2;55;264;142;7;149
780050107;896;78005;11;78;783;78005;848;3;3;42;680;127;2;129
780050108;804;78005;11;78;783;78005;772;0;4;28;407;53;2;55
780050109;1566;78005;11;78;783;78005;1479;6;2;79;863;170;6;176
780060000;374;78006;11;78;781;78006;283;80;1;10;244;19;2;21
780070000;304;78007;11;78;783;78007;288;1;3;12;227;50;1;51
780090000;119;78009;11;78;782;78009;100;7;0;12;80;16;0;16
780100000;441;78010;11;78;783;78010;415;9;0;17;356;35;0;35
780130000;129;78013;11;78;781;78013;122;4;0;3;102;16;2;18
780150101;683;78015;11;78;783;78015;647;11;0;25;367;48;4;52
780150102;839;78015;11;78;783;78015;801;18;1;19;700;59;2;61
780150103;719;78015;11;78;783;78015;686;10;0;23;423;54;4;58
780150104;1220;78015;11;78;783;78015;1120;22;2;76;601;372;6;378
780150105;849;78015;11;78;783;78015;787;31;1;30;583;135;8;143
780150106;810;78015;11;78;783;78015;743;15;3;49;608;105;1;106
780200000;307;78020;11;78;781;78020;265;19;0;23;216;40;1;41
780290101;818;78029;11;78;781;78029;762;11;8;37;511;138;7;145
780290102;1024;78029;11;78;781;78029;917;1;16;90;401;209;1;210
780290103;586;78029;11;78;781;78029;565;10;1;10;473;27;1;28
780290104;674;78029;11;78;781;78029;612;2;3;57;35;11;1;12
780290105;848;78029;11;78;781;78029;793;2;9;44;227;57;1;58
780290106;635;78029;11;78;781;78029;610;1;1;23;223;14;3;17
780300000;765;78030;11;78;782;78030;674;41;21;29;551;76;5;81
780310000;241;78031;11;78;781;78031;204;18;1;18;194;4;0;4
780330000;437;78033;11;78;781;78033;391;35;1;10;337;40;2;42
780340000;320;78034;11;78;782;78034;292;21;0;7;263;15;2;17
780360000;165;78036;11;78;782;78036;130;28;0;7;104;17;1;18
780430000;1562;78043;11;78;783;78043;1451;8;4;99;1046;288;7;295
780480000;479;78048;11;78;781;78048;414;40;1;24;345;55;0;55
780490000;605;78049;11;78;781;78049;548;40;0;17;492;39;1;40
780500000;245;78050;11;78;782;78050;173;53;0;19;145;15;1;16
780530000;176;78053;11;78;782;78053;139;25;0;12;114;14;2;16
780570000;702;78057;11;78;781;78057;584;65;2;51;490;64;5;69
780620101;855;78062;11;78;782;78062;739;35;16;65;568;123;3;126
780620102;726;78062;11;78;782;78062;700;3;2;21;466;54;1;55
780620103;1152;78062;11;78;782;78062;1117;7;3;25;1025;45;0;45
780680000;307;78068;11;78;781;78068;265;29;1;12;235;19;1;20
780700000;112;78070;11;78;781;78070;103;4;1;4;84;16;0;16
780710000;200;78071;11;78;782;78071;183;7;0;10;153;20;1;21
780720000;114;78072;11;78;781;78072;96;16;0;2;90;3;0;3
780730101;35;78073;11;78;784;78073;29;0;6;0;0;2;0;2
780730102;878;78073;11;78;784;78073;831;3;8;36;519;140;3;143
780730103;800;78073;11;78;784;78073;756;5;2;37;243;291;2;293
780730104;1091;78073;11;78;784;78073;1025;2;1;63;671;237;1;238
780730105;982;78073;11;78;784;78073;908;11;6;57;742;128;13;141
780730106;838;78073;11;78;784;78073;801;2;2;33;510;195;1;196
780760000;113;78076;11;78;781;78076;87;16;0;10;66;10;0;10
