Annee;COM;REG;DEP;ARR;CV;ZE1990;LIBGEO;PMIMP;PTSA;PPEN;PBEN;PAUT
2001;77293;11;77;773;7720;1151;Misy-sur-Yonne;;;;;
2001;77294;11;77;771;7737;1137;Mitry-Mory;73,03;75,97;17,87;3,71;2,44
2001;77295;11;77;772;7705;1148;Moisenay;;;;;
2001;77296;11;77;772;7741;1148;Moissy-Cramayel;71,33;87,72;9,09;2,14;1,05
2001;77297;11;77;774;7704;1150;Mondreville;;;;;
2001;77298;11;77;773;7710;1152;Mons-en-Montois;;;;;
2001;77299;11;77;774;7721;1149;Montarlot;;;;;
2001;77300;11;77;771;7731;1155;Montceaux-lès-Meaux;;;;;
2001;77301;11;77;773;7729;1153;Montceaux-lès-Provins;;;;;
2001;77302;11;77;774;7724;1150;Montcourt-Fromonville;78,22;78,83;15,52;3,39;2,25
2001;77303;11;77;771;7726;1153;Montdauphin;;;;;
2001;77304;11;77;771;7726;1153;Montenils;;;;;
2001;77305;11;77;773;7720;1151;Montereau-Fault-Yonne;45,58;68,81;24,51;4,19;2,48
2001;77306;11;77;772;7718;1148;Montereau-sur-le-Jard;;;;;
2001;77307;11;77;775;7743;1154;Montévrain;85,9;83,2;9,07;5,47;2,26
2001;77308;11;77;771;7709;1156;Montgé-en-Goële;;;;;
2001;77309;11;77;771;7709;1155;Monthyon;;;;;
2001;77310;11;77;773;7701;1152;Montigny-le-Guesdier;;;;;
2001;77311;11;77;773;7710;1151;Montigny-Lencoup;;;;;
2001;77312;11;77;774;7721;1149;Montigny-sur-Loing;75;65,73;18,85;10,25;5,18
2001;77313;11;77;774;7716;1151;Montmachoux;;;;;
2001;77314;11;77;773;7711;1153;Montolivet;;;;;
2001;77315;11;77;771;7708;1155;Montry;81,32;71,76;20,97;5,07;2,2
2001;77316;11;77;774;7721;1149;Moret-sur-Loing;73,19;68,26;20,86;6,81;4,07
2001;77317;11;77;772;7722;1148;Mormant;63,88;77,91;16,36;4,06;1,67
2001;77318;11;77;772;7727;1135;Mortcerf;;;;;
2001;77319;11;77;773;7725;1152;Mortery;;;;;
2001;77320;11;77;771;7707;1153;Mouroux;71,25;74,47;16,89;5,12;3,52
2001;77321;11;77;773;7701;1152;Mousseaux-lès-Bray;;;;;
2001;77322;11;77;771;7709;1156;Moussy-le-Neuf;82,58;81,37;11,88;4,21;2,54
2001;77323;11;77;771;7709;1156;Moussy-le-Vieux;;;;;
2001;77325;11;77;773;7701;1152;Mouy-sur-Seine;;;;;
2001;77326;11;77;772;7734;1148;Nandy;75,91;90,72;5,8;2,56;0,92
2001;77327;11;77;773;7723;1148;Nangis;60,26;70,97;19,88;6,6;2,55
2001;77328;11;77;774;7703;1147;Nanteau-sur-Essonne;;;;;
2001;77329;11;77;774;7724;1150;Nanteau-sur-Lunain;;;;;
2001;77330;11;77;771;7731;1155;Nanteuil-lès-Meaux;77,05;73,49;16,89;6,44;3,18
2001;77331;11;77;771;7712;1155;Nanteuil-sur-Marne;;;;;
2001;77332;11;77;771;7737;1156;Nantouillet;;;;;
2001;77333;11;77;774;7724;1150;Nemours;58,62;70,5;21,89;4,92;2,68
2001;77335;11;77;771;7717;1155;Chauconin-Neufmontiers;;;;;
2001;77336;11;77;772;7727;1135;Neufmoutiers-en-Brie;;;;;
2001;77337;11;77;775;7739;1136;Noisiel;65,66;86,38;9,68;3,1;0,84
2001;77338;11;77;774;7716;1151;Noisy-Rudignon;;;;;
2001;77339;11;77;774;7703;1147;Noisy-sur-École;;;;;
2001;77340;11;77;774;7724;1150;Nonville;;;;;
2001;77341;11;77;773;7701;1152;Noyen-sur-Seine;;;;;
2001;77342;11;77;774;7704;1150;Obsonville;;;;;
2001;77343;11;77;771;7715;1155;Ocquerre;;;;;
2001;77344;11;77;771;7709;1156;Oissery;;;;;
2001;77345;11;77;771;7726;1155;Orly-sur-Morin;;;;;
2001;77347;11;77;773;7701;1152;Ormes-sur-Voulzie (Les);;;;;
2001;77348;11;77;774;7724;1150;Ormesson;;;;;
